user_id,n_val,mle_top1,map_top1
AE4JW4VKY62DVXAM5CQZJTHORCGA,3,0,1
AE4KPQDMD72SAGIXMZHJTGPE6RZQ,3,0,1
AE4L2LH55JNFCLHFXFC7YOEQSBIA,1,0,0
AE4LSLOLLNHU56VN2K77NKBHIKPA,1,0,1
AE4LW6LPGCCEQ2A3RFLNPWX5SSMA,1,0,1
AE4LYIDR3TONGSG27RNJSYP7ZRWQ,3,0,1
AE4MRXHBOPSZBOYIRLON4JIYJ2RA,5,1,0
AE4NJ32BCSI3T3W7YQHLKLIPOZCA,12,1,1
AE4NXLTC75Q4YYJ34QKOT5OKOOUQ,1,0,1
AE4QHCLIHAMFLR2Y4EHQ3YHCPMLQ,1,1,1
AE4QO4BZ4S4DD3A2EXHUCIECTYWA,15,1,1
AE4R2CF4ZQEAVA2L2AJQLS44Z4GQ,1,0,1
AE4SX2IMZGVQSS5SFWP6NEE2HQ4Q,10,1,1
AE4U2BDLSMNHCWV3VXIAQASAOTUQ,4,1,1
AE4VXIOKBNGRGQRGMS5W25F3LRNA,8,1,1
AE4WGU5VI77ASPRPBWSEOHZDUQFA,7,0,0
AE4WTTOVJBPYGTJ3CIY37KJBHFHA,4,0,0
AE52SNCMOEK26ZZ5EL2N6ROFBYFA,1,0,1
AE53EHW6WCV6ZQ24QKPNQGDALE2Q,1,0,0
AE54UBMISVJNT7DA7MSB3WPIJ6IA,4,1,1
AE55CDC4KNRIE7L57RFTGTHBPUEA,1,1,1
AE56IRAS2UYOMTI5XOSCRGXF3A2A,2,1,1
AE577F2W4CELBITSWYQLJYNGWAUA,1,1,1
AE57MRF2R2ALCC6H5WQLFKT7KSSA,2,0,0
AE5BOUB3JEW4YH5WH6D7XKK6CTEA,5,1,0
AE5CYX54MZAXHMPFNCEWOXQWLDGQ,2,0,0
AE5E4D2GGRABRQOO6XKKK7ZEKPIQ,3,1,1
AE5GHFQZ6IXM4QNYTLTYJO24KQZQ,8,0,0
AE5HH3JEJQYTY24PPNKVWLTOVX4A,1,0,1
AE5HMXFVJWWD4MGKIUEBPQDFI34A,2,0,1
AE5LRLZRNKDMV6UF33IMN4EZBTXQ,1,0,0
AE5LWE5ASTHYYGPBOSQKL32LKFMA,2,0,0
AE5MRMV5I7NCL3K72ZYZPR2MRZIA,2,0,0
AE5N5PAV5ARTEU6KECDJ45RZAMYA,2,0,0
AE5NFDZJJGIEGA2IZ7EXACXAWV7A,8,1,1
AE5NMUSAAOT52FJLRNSCV2VNL2GQ,1,0,1
AE5OR6PUL4DUSLSOHRKGFGHANZCA,1,0,1
AE5PBNL3YF37OI3ZH5MGLZ7GB4IQ,1,0,1
AE5PZITMWZJBPVKL7XXYUFBTITQA,3,1,1
AE5RER2LMMTNPXXANLQ6KUZGKJEA,1,1,1
AE5UB4BPNWVM6XJCU55PUEZK5PPQ,2,0,0
AE5V4YSLHRHWACDYJRP24AOXZVPA,1,1,1
AE5VAK3DUK4B4OQZGWK7HEPC2X3A,1,1,1
AE5VPKX64CVOPH6X75C7EQXAIGLA,15,1,1
AE5VZNM7QUZAZK4JYGXOB4OKJMIQ,1,1,1
AE5WBFWO6CTVZ6H2X5YQNRYOBYKQ,2,0,0
AE5WIVW7SEDVKODJC6LT544X2AWA,2,1,1
AE5WSM4FUIFGANLQ6OXHWB3BTV5Q,3,0,0
AE62OB3JYQR2U6F34BAIJPQ5SWOQ,3,1,1
AE64B3HSGOOQEW5JXEZE2VOY4MPQ,1,0,0
AE64GE55BVNSOA47G7LR2NBABZMQ,1,1,1
AE6543BDEBMDZILJ4VLHBZNNL2NA,40,1,1
AE6A2YEYBS4ZZ2UDZGTBDIHIFF6A,1,1,0
AE6A6D6GHWO46CJDF2HPBM6QAIGA,9,1,1
AE6AUO3Z6Q5N5VK2JDWGZEGFW4GA,26,1,1
AE6BON6K5BLJC7CW5FNBII2PFQCQ,1,0,0
AE6CDLBWFO22BBOFVEBSFIHS4GDA,1,0,0
AE6CHHKNY47ZMAIXIB3FVDE2HLLQ,1,0,0
