model,auc_all,auc_cold,auc_estab
Dirichlet only,0.6794460957798426,0.6350141837422727,0.7052056610420581
Bernoulli only,0.6770387417890608,0.6861206780723952,0.7077490801295948
Dirichlet + Bernoulli,0.6779191829854955,0.6821496363181487,0.7052394975189094
