alpha,val_f1
0.01,0.44594197935521745
0.01373823795883263,0.44594197935521745
0.018873918221350976,0.44594197935521745
0.02592943797404667,0.44594197935521745
0.035622478902624426,0.44594197935521745
0.04893900918477494,0.44594197935521745
0.06723357536499334,0.44594197935521745
0.09236708571873861,0.44594197935521745
0.12689610031679222,0.44594197935521745
0.17433288221999882,0.44594197935521745
0.2395026619987486,0.44594197935521745
0.32903445623126676,0.44594197935521745
0.4520353656360243,0.44594197935521745
0.6210169418915616,0.44594197935521745
0.8531678524172805,0.44594197935521745
1.1721022975334805,0.44594197935521745
1.6102620275609392,0.44594197935521745
2.212216291070448,0.44594197935521745
3.039195382313198,0.44594197935521745
4.175318936560401,0.44594197935521745
5.736152510448681,0.44594197935521745
7.880462815669913,0.44594197935521745
10.82636733874054,0.44594197935521745
14.873521072935118,0.44594197935521745
20.433597178569418,0.44594197935521745
28.072162039411758,0.44594197935521745
38.56620421163472,0.44594197935521745
52.98316906283707,0.44594197935521745
72.78953843983146,0.44594197935521745
100.0,0.44594197935521745
