kappa_0,val_f1
0.1,0.4722578252074486
0.1373823795883263,0.4702307649943667
0.18873918221350972,0.4679733532309342
0.2592943797404667,0.46741515356924274
0.3562247890262442,0.46526192440466574
0.4893900918477494,0.4638275932294272
0.6723357536499337,0.46271111773771223
0.9236708571873861,0.4595646830025056
1.2689610031679222,0.4564087841191621
1.743328822199988,0.4551170676772423
2.395026619987486,0.45242650901047154
3.2903445623126677,0.4514623858099154
4.520353656360243,0.4488371954995416
6.2101694189156165,0.4462917548572669
8.531678524172806,0.4443739119218169
11.721022975334806,0.44368683341291826
16.102620275609393,0.4428361474421104
22.12216291070448,0.44266273285182417
30.39195382313198,0.44224956063268894
41.753189365604,0.44226263004967664
57.361525104486816,0.44226263004967664
78.80462815669912,0.4422756988541838
108.2636733874054,0.4422756988541838
148.73521072935117,0.4422756988541838
204.33597178569417,0.4422756988541838
280.72162039411756,0.4422756988541838
385.6620421163472,0.4422756988541838
529.8316906283708,0.4422756988541838
727.8953843983146,0.4422756988541838
1000.0,0.4422756988541838
